iter	Passed	Remaining
0	152	152302
1	153	76590
2	154	51309
3	155	38611
4	155	30981
5	156	25886
6	156	22255
7	157	19547
8	158	17423
9	158	15717
10	159	14324
11	159	13156
12	160	12175
13	161	11350
14	162	10653
15	162	10019
16	163	9473
17	164	8988
18	166	8576
19	167	8228
20	169	7878
21	169	7555
22	170	7246
23	171	6979
24	172	6724
25	173	6489
26	173	6269
27	174	6066
28	175	5886
29	177	5738
30	178	5582
31	179	5431
32	181	5311
33	182	5183
34	183	5052
35	183	4926
36	184	4807
37	185	4689
38	185	4577
39	186	4469
40	186	4368
41	187	4271
42	187	4175
43	188	4085
44	188	4000
45	188	3915
46	189	3837
47	189	3763
48	190	3693
49	190	3624
50	191	3558
51	191	3490
52	191	3427
53	192	3371
54	193	3316
55	193	3263
56	194	3214
57	195	3169
58	195	3125
59	196	3080
60	197	3036
61	197	2993
62	198	2951
63	199	2911
64	199	2872
65	200	2834
66	200	2797
67	201	2761
68	202	2726
69	202	2693
70	203	2660
71	203	2628
72	204	2596
73	205	2566
74	205	2537
75	206	2509
76	206	2481
77	207	2453
78	208	2426
79	208	2402
80	209	2381
81	210	2359
82	211	2335
83	212	2313
84	212	2292
85	213	2271
86	214	2249
87	214	2228
88	215	2206
89	216	2185
90	216	2165
91	217	2145
92	217	2125
93	218	2106
94	219	2087
95	219	2068
96	219	2047
97	220	2030
98	221	2013
99	221	1997
100	222	1978
101	222	1962
102	224	1956
103	225	1941
104	226	1927
105	226	1912
106	227	1897
107	227	1882
108	228	1868
109	229	1854
110	229	1840
111	230	1827
112	230	1811
113	231	1798
114	231	1785
115	232	1772
116	233	1760
117	233	1748
118	234	1736
119	235	1723
120	235	1711
121	235	1697
122	236	1685
123	236	1673
124	237	1662
125	238	1652
126	239	1643
127	239	1631
128	240	1621
129	240	1610
130	241	1599
131	241	1589
132	242	1578
133	242	1568
134	243	1558
135	243	1548
136	244	1538
137	244	1528
138	245	1518
139	245	1508
140	246	1498
141	246	1489
142	246	1480
143	247	1471
144	248	1462
145	248	1453
146	249	1444
147	249	1436
148	250	1428
149	250	1419
150	251	1415
151	252	1407
152	253	1400
153	253	1394
154	254	1386
155	254	1378
156	255	1371
157	255	1363
158	256	1355
159	256	1348
160	257	1341
161	257	1333
162	258	1326
163	258	1319
164	259	1312
165	259	1305
166	260	1297
167	260	1290
168	261	1284
169	261	1277
170	262	1270
171	262	1264
172	263	1257
173	263	1251
174	264	1245
175	264	1239
176	265	1233
177	265	1227
178	266	1221
179	267	1216
180	267	1212
181	268	1207
182	269	1201
183	269	1195
184	270	1189
185	270	1183
186	271	1178
187	271	1172
188	272	1167
189	272	1161
190	273	1156
191	273	1151
192	274	1145
193	274	1140
194	275	1135
195	275	1130
196	276	1125
197	276	1119
198	277	1115
199	277	1110
200	278	1105
201	278	1100
202	279	1095
203	279	1091
204	280	1086
205	280	1081
206	281	1077
207	282	1074
208	282	1070
209	283	1066
210	283	1061
211	284	1057
212	284	1052
213	285	1048
214	285	1044
215	286	1039
216	287	1035
217	287	1031
218	287	1027
219	288	1022
220	288	1018
221	289	1014
222	289	1010
223	290	1006
224	291	1002
225	291	998
226	292	994
227	292	991
228	293	987
229	293	984
230	294	980
231	295	976
232	295	973
233	296	971
234	297	967
235	297	964
236	298	960
237	298	956
238	299	952
239	299	949
240	300	945
241	300	942
242	301	939
243	302	935
244	302	932
245	303	929
246	303	925
247	304	922
248	304	919
249	305	915
250	305	912
251	306	909
252	306	906
253	307	903
254	308	900
255	308	896
256	309	893
257	309	890
258	310	888
259	311	886
260	312	884
261	312	881
262	313	878
263	314	875
264	314	872
265	315	869
266	315	866
267	316	864
268	316	861
269	317	858
270	318	855
271	318	852
272	319	849
273	319	846
274	320	844
275	320	841
276	321	838
277	321	836
278	322	833
279	323	830
280	323	828
281	324	825
282	325	824
283	326	822
284	326	819
285	327	817
286	328	814
287	328	812
288	329	809
289	329	807
290	330	805
291	330	802
292	331	799
293	332	797
294	332	794
295	333	792
296	333	789
297	334	787
298	334	784
299	335	782
300	335	779
301	336	777
302	336	775
303	337	772
304	338	770
305	338	768
306	339	766
307	340	765
308	341	762
309	341	760
310	342	758
311	342	755
312	343	753
313	343	751
314	344	749
315	345	746
316	345	744
317	346	742
318	346	740
319	347	738
320	347	736
321	348	733
322	349	731
323	349	729
324	350	727
325	350	725
326	351	722
327	351	720
328	352	718
329	352	716
330	353	715
331	354	713
332	355	711
333	355	709
334	356	707
335	356	705
336	357	703
337	357	700
338	358	698
339	358	696
340	359	694
341	359	692
342	360	690
343	361	688
344	361	686
345	362	684
346	362	682
347	363	680
348	363	678
349	364	676
350	364	674
351	365	672
352	365	670
353	366	668
354	366	666
355	367	664
356	367	662
357	368	660
358	369	659
359	370	657
360	370	656
361	371	654
362	371	652
363	372	650
364	372	648
365	373	646
366	374	645
367	375	644
368	375	642
369	376	641
370	378	641
371	379	639
372	380	638
373	381	639
374	385	642
375	386	640
376	386	639
377	387	638
378	389	637
379	390	636
380	390	635
381	391	634
382	392	632
383	393	631
384	394	630
385	395	629
386	396	628
387	398	628
388	399	627
389	401	627
390	402	626
391	402	624
392	403	623
393	404	622
394	405	621
395	406	619
396	407	618
397	408	617
398	409	616
399	410	615
400	411	613
401	411	612
402	414	613
403	415	613
404	416	611
405	417	610
406	418	609
407	419	608
408	420	607
409	421	606
410	422	605
411	423	604
412	424	602
413	425	601
414	425	600
415	426	598
416	428	599
417	429	598
418	430	596
419	431	595
420	432	594
421	433	593
422	434	592
423	435	591
424	436	589
425	436	588
426	437	586
427	437	585
428	438	583
429	438	581
430	439	580
431	439	578
432	440	576
433	441	575
434	442	574
435	443	573
436	443	571
437	444	570
438	444	568
439	445	567
440	446	565
441	446	563
442	447	562
443	447	560
444	448	559
445	449	557
446	449	556
447	450	554
448	450	553
449	451	551
450	451	550
451	452	548
452	453	547
453	453	545
454	454	544
455	454	542
456	455	540
457	455	539
458	456	538
459	457	537
460	458	535
461	458	534
462	459	532
463	459	531
464	460	529
465	460	528
466	461	526
467	462	525
468	462	523
469	463	522
470	463	520
471	464	519
472	464	518
473	465	516
474	465	515
475	466	513
476	467	512
477	467	510
478	468	509
479	468	507
480	469	506
481	469	505
482	470	503
483	471	503
484	472	501
485	473	500
486	473	499
487	474	497
488	474	496
489	475	494
490	475	493
491	476	491
492	477	490
493	477	489
494	478	487
495	478	486
496	479	484
497	479	483
498	480	482
499	480	480
500	481	479
501	482	478
502	482	476
503	483	475
504	483	474
505	484	472
506	485	471
507	486	471
508	487	470
509	487	468
510	488	467
511	489	466
512	490	465
513	490	464
514	491	462
515	492	461
516	492	460
517	493	459
518	493	457
519	494	456
520	495	455
521	495	453
522	496	452
523	496	451
524	497	450
525	498	449
526	498	447
527	499	446
528	500	445
529	501	444
530	502	443
531	502	442
532	503	440
533	503	439
534	504	438
535	504	437
536	505	435
537	506	434
538	506	433
539	507	432
540	507	430
541	508	429
542	508	428
543	509	427
544	510	425
545	510	424
546	511	423
547	511	422
548	512	420
549	512	419
550	513	418
551	514	417
552	515	416
553	516	415
554	516	414
555	517	413
556	517	411
557	518	410
558	518	409
559	519	408
560	520	407
561	520	406
562	521	404
563	522	403
564	522	402
565	523	401
566	524	400
567	524	399
568	525	397
569	525	396
570	526	395
571	526	394
572	527	393
573	528	391
574	528	390
575	529	389
576	530	388
577	530	387
578	531	386
579	531	385
580	532	384
581	533	382
582	533	381
583	534	380
584	535	379
585	535	378
586	536	377
587	536	376
588	537	374
589	537	373
590	538	372
591	539	371
592	539	370
593	540	369
594	540	368
595	541	366
596	541	365
597	542	364
598	543	363
599	543	362
600	544	361
601	545	360
602	545	359
603	546	358
604	546	357
605	547	356
606	548	354
607	548	353
608	549	352
609	549	351
610	550	350
611	550	349
612	551	348
613	551	346
614	552	345
615	553	344
616	553	343
617	554	342
618	554	341
619	555	340
620	555	339
621	556	337
622	556	336
623	557	335
624	558	334
625	559	334
626	560	333
627	560	332
628	561	331
629	561	330
630	562	328
631	563	327
632	563	326
633	564	325
634	564	324
635	565	323
636	565	322
637	566	321
638	566	320
639	567	319
640	567	318
641	568	316
642	568	315
643	569	314
644	570	313
645	570	312
646	571	311
647	571	310
648	572	309
649	573	308
650	574	307
651	574	306
652	575	305
653	576	304
654	576	303
655	577	302
656	577	301
657	578	300
658	579	299
659	579	298
660	580	297
661	580	296
662	581	295
663	581	294
664	582	293
665	582	292
666	583	291
667	584	290
668	584	289
669	585	288
670	585	287
671	586	286
672	587	285
673	588	284
674	588	283
675	589	282
676	590	281
677	590	280
678	591	279
679	591	278
680	592	277
681	593	276
682	593	275
683	594	274
684	594	273
685	595	272
686	595	271
687	596	270
688	597	269
689	597	268
690	598	267
691	598	266
692	599	265
693	599	264
694	600	263
695	601	262
696	602	261
697	603	260
698	603	260
699	604	259
700	604	258
701	605	257
702	606	256
703	606	255
704	607	254
705	607	253
706	608	252
707	609	251
708	609	250
709	610	249
710	610	248
711	611	247
712	611	246
713	612	245
714	612	244
715	613	243
716	613	242
717	614	241
718	615	240
719	616	239
720	617	238
721	617	237
722	618	236
723	618	235
724	619	234
725	619	233
726	620	232
727	621	232
728	621	231
729	622	230
730	622	229
731	623	228
732	623	227
733	624	226
734	624	225
735	625	224
736	625	223
737	626	222
738	627	221
739	627	220
740	628	219
741	628	218
742	629	217
743	630	216
744	631	216
745	631	215
746	632	214
747	632	213
748	633	212
749	634	211
750	634	210
751	635	209
752	635	208
753	636	207
754	636	206
755	637	205
756	637	204
757	638	203
758	639	202
759	639	202
760	640	201
761	640	200
762	641	199
763	641	198
764	642	197
765	642	196
766	643	195
767	644	194
768	645	193
769	646	193
770	646	192
771	647	191
772	647	190
773	648	189
774	649	188
775	649	187
776	650	186
777	650	185
778	651	184
779	651	183
780	652	182
781	652	181
782	653	181
783	653	180
784	654	179
785	655	178
786	655	177
787	656	176
788	656	175
789	657	174
790	657	173
791	658	172
792	659	172
793	660	171
794	660	170
795	661	169
796	661	168
797	662	167
798	662	166
799	663	165
800	663	164
801	664	164
